begin,end,id,lastUpdate,cause,severity,tags,title,message,shortMessage,stop_points,name,mode,status,priority,effect,severity_text,text,total_valid_imp
2025-03-27 18:42:00,2025-04-22 04:30:00,26847bb8-0b33-11f0-b7af-0a58a9feac02,20250327T184436,TRAVAUX,BLOQUANTE,['Actualité'],Tramway T1 : Travaux - Trafic interrompu,"Jusqu'au lundi 21 avril 2025, le trafic est interrompu entre Gare de Noisy-le-Sec et Escadrille Normandie-Niémen en raison de travaux. .Bus de remplacement.Plus d'informations sur le site ratp.fr",Trafic interrompu,"['Auguste Delaune', 'Bobigny - Pablo Picasso', 'Escadrille Normandie-Niemen', 'Gare de Noisy-le-Sec', 'Hôtel de Ville de Bobigny', 'Jean Rostand', 'La Ferme', 'Libération', 'Petit Noisy', 'Pont de Bondy']",T1,Tramway,now,0.0,NO_SERVICE,bloquante,"<p>Jusqu'au lundi 21 avril 2025, le trafic est interrompu entre Gare de Noisy-le-Sec et Escadrille Normandie-Niémen en raison de travaux. .<br>Bus de remplacement.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",0
2025-04-09 03:00:00,2025-05-01 03:00:00,5f7f3300-1541-11f0-8f48-0a58a9feac02,20250409T145136,PERTURBATION,BLOQUANTE,['Actualité'],RER C : arrêt non desservi ,"Suite aux travaux, la gare d'Issy n'est plus desservie pour raison de sécurité jusqu'à nouvel avis. Motif : travaux",Arrêt non desservi planifié,"['Ablon', 'Arpajon', 'Athis-Mons', 'Bibliothèque François Mitterrand', 'Bouray', 'Breuillet - Bruyères-le-Châtel', 'Breuillet Village', 'Brétigny', 'Champ de Mars Tour Eiffel', 'Chaville - Vélizy', 'Choisy-le-Roi', 'Dourdan', 'Dourdan la Forêt', ""Gare d'Austerlitz"", 'Gare de Chamarande', 'Invalides', 'Issy', 'Issy - Val de Seine', 'Ivry-sur-Seine', 'Javel', 'Juvisy', 'La Norville - Saint-Germain-lès-Arpajon', 'Lardy', 'Les Ardoines', 'Marolles-en-Hurepoix', 'Meudon Val Fleury', ""Musée d'Orsay"", ""Pont de l'Alma"", 'Pont du Garigliano - Hôpital Européen G. Pompidou', 'Porchefontaine', 'Saint-Chéron', 'Saint-Cyr', ""Saint-Martin d'Étampes"", 'Saint-Michel Notre-Dame', 'Saint-Michel-sur-Orge', 'Saint-Quentin en Yvelines - Montigny-le-Bretonneux', 'Sainte-Geneviève-des-Bois', 'Savigny-sur-Orge', 'Sermaise', 'Versailles Chantiers', 'Versailles Château Rive Gauche', 'Villeneuve-le-Roi', 'Viroflay Rive Gauche', 'Vitry-sur-Seine', 'Égly', 'Épinay-sur-Orge', 'Étampes', 'Étréchy']",C,RapidTransit,now,0.0,NO_SERVICE,bloquante,"<p></p><p><br>Suite aux travaux, la gare d'Issy n'est plus desservie pour raison de s&#233;curit&#233; jusqu'&#224; nouvel avis. <br></p><p><br></p><p>Motif : travaux<br></p>",1272172
2025-04-09 16:38:34,2025-04-10 04:30:00,8c8349fe-1550-11f0-ac05-0a58a9feac02,20250409T164015,PERTURBATION,PERTURBEE,['Actualité'],Métro 4 : Malaise voyageur - Trains stationnent,Des trains stationnent entre Saint-Sulpice et Strasbourg - Saint-Denis  vers Porte de Clignancourt en raison d'un malaise voyageur à Châtelet.Plus d'informations sur le site ratp.fr,Trains stationnent,"['Châtelet', 'Cité', 'Etienne Marcel', 'Les Halles', 'Odéon', 'Réaumur - Sébastopol', 'Saint-Germain-des-Prés', 'Saint-Michel', 'Saint-Sulpice', 'Strasbourg - Saint-Denis']",4,Metro,now,,,,,46695
2025-04-09 16:34:52,2025-04-09 19:30:00,8f6ef4b0-1550-11f0-8f48-0a58a9feac02,20250409T164019,PERTURBATION,PERTURBEE,['Actualité'],RER E : perturbation,"Le trafic est perturbé de Nanterre-La-Folie vers Chelles - Gournay. Pour plus d'informations sur cette perturbation, consultez le fil Twitter du RER E. Motif : train retenu en atelier de maintenance.",fortement ralenti,"['Bondy', 'Chelles - Gournay', 'Gagny', 'Haussmann Saint-Lazare', 'La Défense', 'Le Chénay Gagny', 'Le Raincy - Villemomble - Montfermeil', 'Magenta', 'Nanterre-La-Folie', 'Neuilly Porte Maillot', 'Noisy-le-Sec', 'Pantin', 'Rosa Parks']",E,RapidTransit,now,30.0,SIGNIFICANT_DELAYS,perturbée,"<p>Le trafic est perturb&#233; de Nanterre-La-Folie vers Chelles - Gournay. <br><br>Pour plus d'informations sur cette perturbation, consultez le <a href=""https://x.com/RERE_SNCF"">fil Twitter du RER E</a>. <br><br>Motif : train retenu en atelier de maintenance.<br></p>",4021
