begin,end,id,lastUpdate,cause,severity,tags,title,message,shortMessage,stop_points,name,mode
2025-04-09 19:30:00,2025-04-09 20:30:00,b9d459b6-ed0f-11ef-831e-0a58a9feac02,20250217T101526,TRAVAUX,PERTURBEE,['Actualité'],Ligne E : Nanterre - Tournan 7 - 11/04,"Dates : du lundi 7 au vendredi 11 avrilL'horaire du train TANU, initialement au départ de Nanterre-la-Folie à 19h34 et à destination de Tournan est avancé de 2 minutes dans toutes les gares du parcours : départ de Nanterre-la-Folie à 19h32.Les horaires du calculateur d'itinéraire tiennent compte des travaux.Motif : travaux.",trafic ralenti,"['Gretz-Armainvilliers', 'Haussmann Saint-Lazare', 'La Défense', 'Les Boullereaux Champigny', 'Les Yvris Noisy-le-Grand', 'Magenta', 'Nanterre-La-Folie', 'Neuilly Porte Maillot', 'Nogent - Le Perreux', 'Noisy-le-Sec', 'Ozoir-la-Ferrière', 'Pantin', 'Roissy-en-Brie', 'Rosa Parks', 'Rosny Bois Perrier', 'Rosny-sous-Bois', 'Tournan', 'Val de Fontenay', 'Villiers-sur-Marne - Le Plessis-Trévise', 'Émerainville - Pontault-Combault']",E,RapidTransit
2025-04-09 20:40:00,2025-04-09 21:20:00,97c3dd3e-0591-11f0-949f-0a58a9feac02,20250320T144532,TRAVAUX,PERTURBEE,['Actualité'],Ligne E : Villiers - Nanterre 7/04 - 9/05,"Dates : du lundi 7 avril au vendredi 9 mai sauf jeudi 8 maiLe train NOVY, au départ de Villiers-sur-Marne à 20h49, a pour terminus Paris Est et devient POVE.Il est sans arrêt de Rosa Parks à Paris Est. Ses horaires sont avancés jusqu'à 5 minutes à partir de Nogent-le-Perreux jusqu'au terminus. Les trains NOVY suivant et précédent ont leur desserte inchangée de Villiers-sur-Marne à Nanterre-la-Folie. Les horaires du calculateur d'itinéraire tiennent compte des travaux.Motif : travaux.",trafic ralenti,"['Haussmann Saint-Lazare', 'La Défense', 'Les Boullereaux Champigny', 'Magenta', 'Nanterre-La-Folie', 'Neuilly Porte Maillot', 'Nogent - Le Perreux', 'Noisy-le-Sec', 'Pantin', 'Rosa Parks', 'Rosny Bois Perrier', 'Rosny-sous-Bois', 'Val de Fontenay', 'Villiers-sur-Marne - Le Plessis-Trévise']",E,RapidTransit
